USN NAME JAVA ALGORITHM NETWORKS JIRA CRYPTOGRAPHY TOTAL OBTAINED RESULT

1BM20CS001 NEHA 66 90 84 67 78 500 414 PASS
1BM20CS002 MANSHI 48 92 55 55, 79 500 411 PASS
1BM20CS003 UTSAV 68 93 86 43 76 500 413 PASS
1BM20CS004 UMADEVI 96 89 55 54 74 500 412 PASS
1BM20CS005 APOORVA 87 75 38 45 85 500 345 PASS
1BM20CS006 PADMA 67 69 68 67 83 500 387 PASS
1BM20CS007 VEDA 56 63 72 52 65 500 398 PASS
1BM20CS008 AMIT 78 83 82 35 72 500 426 PASS
1BM20CS009 NISHA 88 79 67 65 78 500 416 PASS

1BM20CS010 SHUBHAM 69 13 18 67 26 500 209 FAIL

USN NAME JAVA ALGORITHM NETWORKS JIRA CRYPTOGRAPHY TOTAL OBTAINED RESULT

1BM20CS011 MEENA 66 70 84 57 68 500 423 PASS
1BM20CS012 JANVI 23 32 15 45 29 500 158 FAIL
1BM20CS013 SNEHA 98 93 76 53 76 500 425 PASS
1BM20CS014_ HEMANTH 96 89 85 64 47 500 445 PASS
1BM20CS015 SWATHI 67 35 98 45 39 500 385 PASS
1BM20CS016 KAVYA 27 34 56 17 33 500 227 FAIL
1BM20CS017 AMRITHA 56 63 72 72 65 500 387 PASS
1BM20CS018 LOPA 78 83 82 35 72 500 416 PASS
1BM20CS019 LIKITH 48 87 56 PP) 56 500 316 PASS

1BM20CS020 RAVI 39 13 18 37 26 500 219 FAIL

USN NAME JAVA ALGORITHM NETWORKS JIRA CRYPTOGRAPHY TOTAL OBTAINED RESULT

1BM20CS021 JAI 96 90 84 57 78 500 434 PASS
1BM20CS022 SUHANA 23 32 15 45 29 500 128 FAIL
1BM20CS023 KIA 98 93 86 43 76 500 423 PASS
1BM20CS024 MONA 96 89 85 44 74 500 465 PASS
1BM20CS025 BALI 87 95 88 85 85 500 478 PASS
1BM20CS026 GAARA 2] 34 56 17 33 500 221 FAIL
1BM20CS027 SASUKE 58 93 42 $2 95 500 391 PASS
1BM20CS028 SAKURA 74 63 87 45 72 500 423 PASS
1BM20CS029 RAGINI 88 79 67 45 78 500 418 PASS

1BM20CS030 CHANDANA 39 3 18 47 26 500 269 FAIL

USN NAME JAVA ALGORITHM NETWORKS JIRA CRYPTOGRAPHY TOTAL OBTAINED RESULT

1BM20CS031 BAVYA 56 60 54 67 78 500 376 PASS
1BM20CS032 ROMA 23 32 15 45 29 500 128 FAIL
1BM20CS033 GITA 38 57 86 83 76 500 415 PASS
1BM20CS034 CHARVIK 96 89 85 84 74 500 442 PASS
1BM20CS035 VANI 67 85 48 15 ie 500 355 PASS
1BM20CS036 TIA 47 64 56 57 83 500 32) PASS
1BM20CS037 EMMA 26 33 22 32 25 500 148 FAIL
1BM20CS038 SHURTHI 78 83 82 AS 72 500 400 PASS
1BM20CS039 SUDHEER 88 79 67 85 78 500 426 PASS

1BM20CS040 INA 39 13 18 47 26 500 269 FAIL

USN NAME JAVA ALGORITHM NETWORKS JIRA CRYPTOGRAPHY TOTAL OBTAINED RESULT

1BM20CS041 HEENA 56 60 54 67 78 500 345 PASS
1BM20CS042 RAHUL 23 32 15 45 29 500 187 FAIL
1BM20CS043 GAURI 38 57 86 83 76 500 432 PASS
1BM20CS044 SONA 96 89 85 84 74 500 419 PASS
1BM20CS045 SHALINI 87 75 78 85 85 500 356 PASS
1BM20CS046 PRIYA py) 34 56 17 33 500 217 FAIL
1BM20CS047_.  JAYSHREE 26 33 22 32 25 500 148 FAIL
1BM20CS048 INCHARA 78 43 62 1S 72 500 316 PASS
1BM20CS049 DIA 88 79 67 85 78 500 419 PASS

1BM20CS050 SANIYA 39 13 18 47 26 500 246 FAIL

